67+81->7+1=8,6+8=4c1->148
59+70->9+0=9,5+7=2c1->129
51+7->1+7=8,5+0=5->58
41+2->1+2=3,4+0=4->43
85+40->5+0=5,8+4=2c1->125
77+29->7+9=6c1,7+2+1=0c1->106
68+34->8+4=2c1,6+3+1=0c1->102
8+85->8+5=3c1,0+8+1=9c0->93
71+15->1+5=6,7+1=8->86
80+37->0+7=7,8+3=1c1->117
4+72->4+2=6,0+7=7->76
57+34->7+4=1c1,5+3+1=9c0->91
21+60->1+0=1,2+6=8->81
92+24->2+4=6,9+2=1c1->116
9+56->9+6=5c1,0+5+1=6c0->65
9+64->9+4=3c1,0+6+1=7c0->73
82+98->2+8=0c1,8+9+1=8c1->180
48+42->8+2=0c1,4+4+1=9c0->90
14+56->4+6=0c1,1+5+1=7c0->70
96+89->6+9=5c1,9+8+1=8c1->185
76+50->6+0=6,7+5=2c1->126
71+24->1+4=5,7+2=9->95
68+33->8+3=1c1,6+3+1=0c1->101
74+78->4+8=2c1,7+7+1=5c1->152
28+10->8+0=8,2+1=3->38
96+25->6+5=1c1,9+2+1=2c1->121
50+10->0+0=0,5+1=6->60
75+96->5+6=1c1,7+9+1=7c1->171
46+36->6+6=2c1,4+3+1=8c0->82
53+48->3+8=1c1,5+4+1=0c1->101
86+66->6+6=2c1,8+6+1=5c1->152
33+95->3+5=8,3+9=2c1->128
94+61->4+1=5,9+6=5c1->155
74+48->4+8=2c1,7+4+1=2c1->122
25+35->5+5=0c1,2+3+1=6c0->60
75+48->5+8=3c1,7+4+1=2c1->123
90+58->0+8=8,9+5=4c1->148
84+44->4+4=8,8+4=2c1->128
6+41->6+1=7,0+4=4->47
57+39->7+9=6c1,5+3+1=9c0->96
7+21->7+1=8,0+2=2->28
85+75->5+5=0c1,8+7+1=6c1->160
91+19->1+9=0c1,9+1+1=1c1->110
46+92->6+2=8,4+9=3c1->138
11+57->1+7=8,1+5=6->68
10+17->0+7=7,1+1=2->27
57+69->7+9=6c1,5+6+1=2c1->126
25+79->5+9=4c1,2+7+1=0c1->104
86+81->6+1=7,8+8=6c1->167
35+19->5+9=4c1,3+1+1=5c0->54
43+47->3+7=0c1,4+4+1=9c0->90
13+84->3+4=7,1+8=9->97
95+85->5+5=0c1,9+8+1=8c1->180
5+48->5+8=3c1,0+4+1=5c0->53
67+80->7+0=7,6+8=4c1->147
90+9->0+9=9,9+0=9->99
66+55->6+5=1c1,6+5+1=2c1->121
54+21->4+1=5,5+2=7->75
78+35->8+5=3c1,7+3+1=1c1->113
44+16->4+6=0c1,4+1+1=6c0->60
40+91->0+1=1,4+9=3c1->131
18+12->8+2=0c1,1+1+1=3c0->30
99+35->9+5=4c1,9+3+1=3c1->134
58+1->8+1=9,5+0=5->59
60+97->0+7=7,6+9=5c1->157
81+62->1+2=3,8+6=4c1->143
43+62->3+2=5,4+6=0c1->105
36+49->6+9=5c1,3+4+1=8c0->85
26+59->6+9=5c1,2+5+1=8c0->85
86+80->6+0=6,8+8=6c1->166
6+13->6+3=9,0+1=1->19
57+77->7+7=4c1,5+7+1=3c1->134
65+3->5+3=8,6+0=6->68
20+54->0+4=4,2+5=7->74
70+1->0+1=1,7+0=7->71
14+57->4+7=1c1,1+5+1=7c0->71
41+32->1+2=3,4+3=7->73
26+37->6+7=3c1,2+3+1=6c0->63
56+28->6+8=4c1,5+2+1=8c0->84
30+49->0+9=9,3+4=7->79
49+23->9+3=2c1,4+2+1=7c0->72
61+93->1+3=4,6+9=5c1->154
3+99->3+9=2c1,0+9+1=0c1->102
52+58->2+8=0c1,5+5+1=1c1->110
78+18->8+8=6c1,7+1+1=9c0->96
79+12->9+2=1c1,7+1+1=9c0->91
44+67->4+7=1c1,4+6+1=1c1->111
98+81->8+1=9,9+8=7c1->179
34+87->4+7=1c1,3+8+1=2c1->121
9+66->9+6=5c1,0+6+1=7c0->75
79+3->9+3=2c1,7+0+1=8c0->82
95+32->5+2=7,9+3=2c1->127
15+40->5+0=5,1+4=5->55
40+39->0+9=9,4+3=7->79
65+71->5+1=6,6+7=3c1->136
20+80->0+0=0,2+8=0c1->100
58+80->8+0=8,5+8=3c1->138
30+2->0+2=2,3+0=3->32
71+80->1+0=1,7+8=5c1->151
61+51->1+1=2,6+5=1c1->112
30+84->0+4=4,3+8=1c1->114
55+36->5+6=1c1,5+3+1=9c0->91
93+80->3+0=3,9+8=7c1->173
2+56->2+6=8,0+5=5->58
47+18->7+8=5c1,4+1+1=6c0->65
60+16->0+6=6,6+1=7->76
32+7->2+7=9,3+0=3->39
42+24->2+4=6,4+2=6->66
96+19->6+9=5c1,9+1+1=1c1->115
38+19->8+9=7c1,3+1+1=5c0->57
63+5->3+5=8,6+0=6->68
72+96->2+6=8,7+9=6c1->168
98+19->8+9=7c1,9+1+1=1c1->117
1+42->1+2=3,0+4=4->43
87+58->7+8=5c1,8+5+1=4c1->145
22+98->2+8=0c1,2+9+1=2c1->120
85+95->5+5=0c1,8+9+1=8c1->180
27+96->7+6=3c1,2+9+1=2c1->123
69+40->9+0=9,6+4=0c1->109
11+72->1+2=3,1+7=8->83
75+13->5+3=8,7+1=8->88
38+97->8+7=5c1,3+9+1=3c1->135
3+18->3+8=1c1,0+1+1=2c0->21
99+19->9+9=8c1,9+1+1=1c1->118
2+84->2+4=6,0+8=8->86
79+73->9+3=2c1,7+7+1=5c1->152
4+99->4+9=3c1,0+9+1=0c1->103
16+44->6+4=0c1,1+4+1=6c0->60
20+48->0+8=8,2+4=6->68
51+52->1+2=3,5+5=0c1->103
9+5->9+5=4c1->14
91+25->1+5=6,9+2=1c1->116
50+69->0+9=9,5+6=1c1->119
68+60->8+0=8,6+6=2c1->128
95+37->5+7=2c1,9+3+1=3c1->132
16+57->6+7=3c1,1+5+1=7c0->73
87+63->7+3=0c1,8+6+1=5c1->150
8+92->8+2=0c1,0+9+1=0c1->100
68+68->8+8=6c1,6+6+1=3c1->136
6+61->6+1=7,0+6=6->67
21+67->1+7=8,2+6=8->88
28+94->8+4=2c1,2+9+1=2c1->122
57+24->7+4=1c1,5+2+1=8c0->81
75+81->5+1=6,7+8=5c1->156
83+35->3+5=8,8+3=1c1->118
87+17->7+7=4c1,8+1+1=0c1->104
39+81->9+1=0c1,3+8+1=2c1->120
46+59->6+9=5c1,4+5+1=0c1->105
45+16->5+6=1c1,4+1+1=6c0->61
37+16->7+6=3c1,3+1+1=5c0->53
34+39->4+9=3c1,3+3+1=7c0->73
70+86->0+6=6,7+8=5c1->156
60+67->0+7=7,6+6=2c1->127
67+18->7+8=5c1,6+1+1=8c0->85
33+72->3+2=5,3+7=0c1->105
88+8->8+8=6c1,8+0+1=9c0->96
69+76->9+6=5c1,6+7+1=4c1->145
44+31->4+1=5,4+3=7->75
26+33->6+3=9,2+3=5->59
23+17->3+7=0c1,2+1+1=4c0->40
22+66->2+6=8,2+6=8->88
53+24->3+4=7,5+2=7->77
56+3->6+3=9,5+0=5->59
5+28->5+8=3c1,0+2+1=3c0->33
50+38->0+8=8,5+3=8->88
47+40->7+0=7,4+4=8->87
66+61->6+1=7,6+6=2c1->127
31+98->1+8=9,3+9=2c1->129
11+20->1+0=1,1+2=3->31
24+81->4+1=5,2+8=0c1->105
64+32->4+2=6,6+3=9->96
91+80->1+0=1,9+8=7c1->171
18+39->8+9=7c1,1+3+1=5c0->57
1+60->1+0=1,0+6=6->61
54+30->4+0=4,5+3=8->84
38+83->8+3=1c1,3+8+1=2c1->121
77+8->7+8=5c1,7+0+1=8c0->85
63+57->3+7=0c1,6+5+1=2c1->120
72+43->2+3=5,7+4=1c1->115
48+87->8+7=5c1,4+8+1=3c1->135
85+63->5+3=8,8+6=4c1->148
91+37->1+7=8,9+3=2c1->128
92+25->2+5=7,9+2=1c1->117
82+32->2+2=4,8+3=1c1->114
43+93->3+3=6,4+9=3c1->136
15+95->5+5=0c1,1+9+1=1c1->110
85+51->5+1=6,8+5=3c1->136
62+64->2+4=6,6+6=2c1->126
85+44->5+4=9,8+4=2c1->129
73+43->3+3=6,7+4=1c1->116
50+53->0+3=3,5+5=0c1->103
60+48->0+8=8,6+4=0c1->108
6+29->6+9=5c1,0+2+1=3c0->35
93+32->3+2=5,9+3=2c1->125
2+27->2+7=9,0+2=2->29
5+71->5+1=6,0+7=7->76
9+85->9+5=4c1,0+8+1=9c0->94
30+65->0+5=5,3+6=9->95
47+66->7+6=3c1,4+6+1=1c1->113
40+37->0+7=7,4+3=7->77
7+61->7+1=8,0+6=6->68
50+23->0+3=3,5+2=7->73
40+12->0+2=2,4+1=5->52
39+56->9+6=5c1,3+5+1=9c0->95
43+32->3+2=5,4+3=7->75
68+23->8+3=1c1,6+2+1=9c0->91
72+7->2+7=9,7+0=7->79
24+93->4+3=7,2+9=1c1->117
89+47->9+7=6c1,8+4+1=3c1->136
54+29->4+9=3c1,5+2+1=8c0->83
54+2->4+2=6,5+0=5->56
94+16->4+6=0c1,9+1+1=1c1->110
89+6->9+6=5c1,8+0+1=9c0->95
55+4->5+4=9,5+0=5->59
37+39->7+9=6c1,3+3+1=7c0->76
52+37->2+7=9,5+3=8->89
26+58->6+8=4c1,2+5+1=8c0->84
4+3->4+3=7->7
74+64->4+4=8,7+6=3c1->138
35+5->5+5=0c1,3+0+1=4c0->40
45+74->5+4=9,4+7=1c1->119
47+1->7+1=8,4+0=4->48
91+69->1+9=0c1,9+6+1=6c1->160
92+65->2+5=7,9+6=5c1->157
76+16->6+6=2c1,7+1+1=9c0->92
34+76->4+6=0c1,3+7+1=1c1->110
97+24->7+4=1c1,9+2+1=2c1->121
9+26->9+6=5c1,0+2+1=3c0->35
79+28->9+8=7c1,7+2+1=0c1->107
61+58->1+8=9,6+5=1c1->119
51+86->1+6=7,5+8=3c1->137
50+39->0+9=9,5+3=8->89
89+99->9+9=8c1,8+9+1=8c1->188
35+21->5+1=6,3+2=5->56
23+11->3+1=4,2+1=3->34
67+57->7+7=4c1,6+5+1=2c1->124
13+58->3+8=1c1,1+5+1=7c0->71
62+30->2+0=2,6+3=9->92
29+6->9+6=5c1,2+0+1=3c0->35
55+52->5+2=7,5+5=0c1->107
95+98->5+8=3c1,9+9+1=9c1->193
3+44->3+4=7,0+4=4->47
88+6->8+6=4c1,8+0+1=9c0->94
24+45->4+5=9,2+4=6->69
76+58->6+8=4c1,7+5+1=3c1->134
44+49->4+9=3c1,4+4+1=9c0->93
16+28->6+8=4c1,1+2+1=4c0->44
67+88->7+8=5c1,6+8+1=5c1->155
38+91->8+1=9,3+9=2c1->129
73+30->3+0=3,7+3=0c1->103
59+48->9+8=7c1,5+4+1=0c1->107
17+41->7+1=8,1+4=5->58
93+87->3+7=0c1,9+8+1=8c1->180
18+27->8+7=5c1,1+2+1=4c0->45
96+32->6+2=8,9+3=2c1->128
4+58->4+8=2c1,0+5+1=6c0->62
84+39->4+9=3c1,8+3+1=2c1->123
19+2->9+2=1c1,1+0+1=2c0->21
96+79->6+9=5c1,9+7+1=7c1->175
25+28->5+8=3c1,2+2+1=5c0->53
7+1->7+1=8->8
5+80->5+0=5,0+8=8->85
90+83->0+3=3,9+8=7c1->173
76+32->6+2=8,7+3=0c1->108
65+23->5+3=8,6+2=8->88
69+93->9+3=2c1,6+9+1=6c1->162
18+73->8+3=1c1,1+7+1=9c0->91
3+54->3+4=7,0+5=5->57
41+51->1+1=2,4+5=9->92
39+94->9+4=3c1,3+9+1=3c1->133
53+34->3+4=7,5+3=8->87
75+85->5+5=0c1,7+8+1=6c1->160
19+33->9+3=2c1,1+3+1=5c0->52
81+31->1+1=2,8+3=1c1->112
2+66->2+6=8,0+6=6->68
2+13->2+3=5,0+1=1->15
45+65->5+5=0c1,4+6+1=1c1->110
41+46->1+6=7,4+4=8->87
34+48->4+8=2c1,3+4+1=8c0->82
65+52->5+2=7,6+5=1c1->117
79+33->9+3=2c1,7+3+1=1c1->112
26+62->6+2=8,2+6=8->88
58+66->8+6=4c1,5+6+1=2c1->124
49+73->9+3=2c1,4+7+1=2c1->122
17+87->7+7=4c1,1+8+1=0c1->104
52+51->2+1=3,5+5=0c1->103
39+25->9+5=4c1,3+2+1=6c0->64
47+14->7+4=1c1,4+1+1=6c0->61
54+96->4+6=0c1,5+9+1=5c1->150
9+50->9+0=9,0+5=5->59
8+58->8+8=6c1,0+5+1=6c0->66
67+38->7+8=5c1,6+3+1=0c1->105
75+79->5+9=4c1,7+7+1=5c1->154
66+24->6+4=0c1,6+2+1=9c0->90
54+60->4+0=4,5+6=1c1->114
97+90->7+0=7,9+9=8c1->187
45+68->5+8=3c1,4+6+1=1c1->113
64+22->4+2=6,6+2=8->86
3+2->3+2=5->5
11+15->1+5=6,1+1=2->26
63+17->3+7=0c1,6+1+1=8c0->80
84+94->4+4=8,8+9=7c1->178
50+59->0+9=9,5+5=0c1->109
41+26->1+6=7,4+2=6->67
7+41->7+1=8,0+4=4->48
11+50->1+0=1,1+5=6->61
17+52->7+2=9,1+5=6->69
43+73->3+3=6,4+7=1c1->116
98+66->8+6=4c1,9+6+1=6c1->164
22+53->2+3=5,2+5=7->75
40+28->0+8=8,4+2=6->68
67+87->7+7=4c1,6+8+1=5c1->154
86+85->6+5=1c1,8+8+1=7c1->171
36+26->6+6=2c1,3+2+1=6c0->62
29+59->9+9=8c1,2+5+1=8c0->88
90+73->0+3=3,9+7=6c1->163
54+28->4+8=2c1,5+2+1=8c0->82
87+12->7+2=9,8+1=9->99
82+61->2+1=3,8+6=4c1->143
85+59->5+9=4c1,8+5+1=4c1->144
45+66->5+6=1c1,4+6+1=1c1->111
3+47->3+7=0c1,0+4+1=5c0->50
25+37->5+7=2c1,2+3+1=6c0->62
66+87->6+7=3c1,6+8+1=5c1->153
86+17->6+7=3c1,8+1+1=0c1->103
94+26->4+6=0c1,9+2+1=2c1->120
49+25->9+5=4c1,4+2+1=7c0->74
3+30->3+0=3,0+3=3->33
97+14->7+4=1c1,9+1+1=1c1->111
12+32->2+2=4,1+3=4->44
66+39->6+9=5c1,6+3+1=0c1->105
35+70->5+0=5,3+7=0c1->105
33+55->3+5=8,3+5=8->88
45+90->5+0=5,4+9=3c1->135
9+4->9+4=3c1->13
92+19->2+9=1c1,9+1+1=1c1->111
9+6->9+6=5c1->15
56+34->6+4=0c1,5+3+1=9c0->90
56+72->6+2=8,5+7=2c1->128
8+3->8+3=1c1->11
10+85->0+5=5,1+8=9->95
93+46->3+6=9,9+4=3c1->139
60+19->0+9=9,6+1=7->79
20+19->0+9=9,2+1=3->39
74+99->4+9=3c1,7+9+1=7c1->173
61+86->1+6=7,6+8=4c1->147
94+13->4+3=7,9+1=0c1->107
71+95->1+5=6,7+9=6c1->166
83+60->3+0=3,8+6=4c1->143
19+61->9+1=0c1,1+6+1=8c0->80
34+86->4+6=0c1,3+8+1=2c1->120
97+95->7+5=2c1,9+9+1=9c1->192
48+6->8+6=4c1,4+0+1=5c0->54
59+67->9+7=6c1,5+6+1=2c1->126
26+55->6+5=1c1,2+5+1=8c0->81
50+52->0+2=2,5+5=0c1->102
46+40->6+0=6,4+4=8->86
17+21->7+1=8,1+2=3->38
91+38->1+8=9,9+3=2c1->129
27+72->7+2=9,2+7=9->99
25+17->5+7=2c1,2+1+1=4c0->42
35+9->5+9=4c1,3+0+1=4c0->44
92+82->2+2=4,9+8=7c1->174
96+4->6+4=0c1,9+0+1=0c1->100
4+82->4+2=6,0+8=8->86
80+45->0+5=5,8+4=2c1->125
98+13->8+3=1c1,9+1+1=1c1->111
84+7->4+7=1c1,8+0+1=9c0->91
42+34->2+4=6,4+3=7->76
44+36->4+6=0c1,4+3+1=8c0->80
84+37->4+7=1c1,8+3+1=2c1->121
98+73->8+3=1c1,9+7+1=7c1->171
19+63->9+3=2c1,1+6+1=8c0->82
92+13->2+3=5,9+1=0c1->105
80+30->0+0=0,8+3=1c1->110
23+99->3+9=2c1,2+9+1=2c1->122
77+53->7+3=0c1,7+5+1=3c1->130
97+8->7+8=5c1,9+0+1=0c1->105
7+74->7+4=1c1,0+7+1=8c0->81
98+1->8+1=9,9+0=9->99
59+25->9+5=4c1,5+2+1=8c0->84
25+59->5+9=4c1,2+5+1=8c0->84
33+42->3+2=5,3+4=7->75
42+77->2+7=9,4+7=1c1->119
93+65->3+5=8,9+6=5c1->158
41+14->1+4=5,4+1=5->55
33+28->3+8=1c1,3+2+1=6c0->61
86+4->6+4=0c1,8+0+1=9c0->90
1+90->1+0=1,0+9=9->91
51+3->1+3=4,5+0=5->54
72+5->2+5=7,7+0=7->77
34+80->4+0=4,3+8=1c1->114
57+96->7+6=3c1,5+9+1=5c1->153
63+42->3+2=5,6+4=0c1->105
1+10->1+0=1,0+1=1->11
16+85->6+5=1c1,1+8+1=0c1->101
85+32->5+2=7,8+3=1c1->117
64+48->4+8=2c1,6+4+1=1c1->112
27+84->7+4=1c1,2+8+1=1c1->111
90+2->0+2=2,9+0=9->92
34+4->4+4=8,3+0=3->38
83+18->3+8=1c1,8+1+1=0c1->101
33+92->3+2=5,3+9=2c1->125
39+84->9+4=3c1,3+8+1=2c1->123
10+53->0+3=3,1+5=6->63
87+75->7+5=2c1,8+7+1=6c1->162
19+54->9+4=3c1,1+5+1=7c0->73
32+74->2+4=6,3+7=0c1->106
62+38->2+8=0c1,6+3+1=0c1->100
77+93->7+3=0c1,7+9+1=7c1->170
39+43->9+3=2c1,3+4+1=8c0->82
26+52->6+2=8,2+5=7->78
84+53->4+3=7,8+5=3c1->137
37+8->7+8=5c1,3+0+1=4c0->45
68+13->8+3=1c1,6+1+1=8c0->81
43+78->3+8=1c1,4+7+1=2c1->121
13+34->3+4=7,1+3=4->47
48+56->8+6=4c1,4+5+1=0c1->104
65+80->5+0=5,6+8=4c1->145
18+88->8+8=6c1,1+8+1=0c1->106
36+55->6+5=1c1,3+5+1=9c0->91
22+71->2+1=3,2+7=9->93
49+72->9+2=1c1,4+7+1=2c1->121
47+69->7+9=6c1,4+6+1=1c1->116
39+92->9+2=1c1,3+9+1=3c1->131
53+33->3+3=6,5+3=8->86
91+11->1+1=2,9+1=0c1->102
16+23->6+3=9,1+2=3->39
29+11->9+1=0c1,2+1+1=4c0->40
96+73->6+3=9,9+7=6c1->169
87+65->7+5=2c1,8+6+1=5c1->152
4+12->4+2=6,0+1=1->16
43+28->3+8=1c1,4+2+1=7c0->71
30+97->0+7=7,3+9=2c1->127
66+32->6+2=8,6+3=9->98
77+34->7+4=1c1,7+3+1=1c1->111
9+82->9+2=1c1,0+8+1=9c0->91
64+14->4+4=8,6+1=7->78
30+91->0+1=1,3+9=2c1->121
74+93->4+3=7,7+9=6c1->167
83+73->3+3=6,8+7=5c1->156
75+36->5+6=1c1,7+3+1=1c1->111
33+47->3+7=0c1,3+4+1=8c0->80
54+24->4+4=8,5+2=7->78
13+94->3+4=7,1+9=0c1->107
41+58->1+8=9,4+5=9->99
90+28->0+8=8,9+2=1c1->118
48+68->8+8=6c1,4+6+1=1c1->116
77+75->7+5=2c1,7+7+1=5c1->152
99+83->9+3=2c1,9+8+1=8c1->182
92+84->2+4=6,9+8=7c1->176
92+33->2+3=5,9+3=2c1->125
91+94->1+4=5,9+9=8c1->185
70+48->0+8=8,7+4=1c1->118
25+38->5+8=3c1,2+3+1=6c0->63
67+37->7+7=4c1,6+3+1=0c1->104
3+73->3+3=6,0+7=7->76
3+52->3+2=5,0+5=5->55
33+6->3+6=9,3+0=3->39
52+46->2+6=8,5+4=9->98
53+87->3+7=0c1,5+8+1=4c1->140
27+98->7+8=5c1,2+9+1=2c1->125
65+22->5+2=7,6+2=8->87
87+5->7+5=2c1,8+0+1=9c0->92
79+66->9+6=5c1,7+6+1=4c1->145
11+19->1+9=0c1,1+1+1=3c0->30
50+58->0+8=8,5+5=0c1->108
60+86->0+6=6,6+8=4c1->146
58+53->8+3=1c1,5+5+1=1c1->111
39+95->9+5=4c1,3+9+1=3c1->134
28+44->8+4=2c1,2+4+1=7c0->72
92+78->2+8=0c1,9+7+1=7c1->170
75+80->5+0=5,7+8=5c1->155
73+95->3+5=8,7+9=6c1->168
10+27->0+7=7,1+2=3->37
97+22->7+2=9,9+2=1c1->119
48+72->8+2=0c1,4+7+1=2c1->120
97+49->7+9=6c1,9+4+1=4c1->146
97+44->7+4=1c1,9+4+1=4c1->141
25+89->5+9=4c1,2+8+1=1c1->114
63+77->3+7=0c1,6+7+1=4c1->140
59+33->9+3=2c1,5+3+1=9c0->92
26+74->6+4=0c1,2+7+1=0c1->100
21+12->1+2=3,2+1=3->33
67+7->7+7=4c1,6+0+1=7c0->74
46+18->6+8=4c1,4+1+1=6c0->64
71+83->1+3=4,7+8=5c1->154
32+16->2+6=8,3+1=4->48
13+37->3+7=0c1,1+3+1=5c0->50
37+95->7+5=2c1,3+9+1=3c1->132
15+44->5+4=9,1+4=5->59
3+98->3+8=1c1,0+9+1=0c1->101
89+8->9+8=7c1,8+0+1=9c0->97
47+5->7+5=2c1,4+0+1=5c0->52
69+12->9+2=1c1,6+1+1=8c0->81
84+79->4+9=3c1,8+7+1=6c1->163
5+1->5+1=6->6
45+56->5+6=1c1,4+5+1=0c1->101
33+31->3+1=4,3+3=6->64
60+52->0+2=2,6+5=1c1->112
77+12->7+2=9,7+1=8->89
89+79->9+9=8c1,8+7+1=6c1->168
29+20->9+0=9,2+2=4->49
12+66->2+6=8,1+6=7->78
5+85->5+5=0c1,0+8+1=9c0->90
54+77->4+7=1c1,5+7+1=3c1->131
60+61->0+1=1,6+6=2c1->121
47+44->7+4=1c1,4+4+1=9c0->91
35+88->5+8=3c1,3+8+1=2c1->123
34+14->4+4=8,3+1=4->48
48+4->8+4=2c1,4+0+1=5c0->52
57+67->7+7=4c1,5+6+1=2c1->124
45+70->5+0=5,4+7=1c1->115
76+64->6+4=0c1,7+6+1=4c1->140
75+12->5+2=7,7+1=8->87
72+85->2+5=7,7+8=5c1->157
67+22->7+2=9,6+2=8->89
42+83->2+3=5,4+8=2c1->125
64+23->4+3=7,6+2=8->87
61+56->1+6=7,6+5=1c1->117
8+91->8+1=9,0+9=9->99
87+78->7+8=5c1,8+7+1=6c1->165
49+18->9+8=7c1,4+1+1=6c0->67
91+97->1+7=8,9+9=8c1->188
61+66->1+6=7,6+6=2c1->127
82+39->2+9=1c1,8+3+1=2c1->121
4+70->4+0=4,0+7=7->74
32+58->2+8=0c1,3+5+1=9c0->90
9+17->9+7=6c1,0+1+1=2c0->26
98+7->8+7=5c1,9+0+1=0c1->105
6+78->6+8=4c1,0+7+1=8c0->84
64+65->4+5=9,6+6=2c1->129
38+99->8+9=7c1,3+9+1=3c1->137
91+92->1+2=3,9+9=8c1->183
63+11->3+1=4,6+1=7->74
31+81->1+1=2,3+8=1c1->112
36+53->6+3=9,3+5=8->89
53+31->3+1=4,5+3=8->84
97+69->7+9=6c1,9+6+1=6c1->166
84+59->4+9=3c1,8+5+1=4c1->143
67+6->7+6=3c1,6+0+1=7c0->73
68+39->8+9=7c1,6+3+1=0c1->107
64+86->4+6=0c1,6+8+1=5c1->150
52+24->2+4=6,5+2=7->76
29+44->9+4=3c1,2+4+1=7c0->73
99+75->9+5=4c1,9+7+1=7c1->174
75+72->5+2=7,7+7=4c1->147
82+53->2+3=5,8+5=3c1->135
84+2->4+2=6,8+0=8->86
35+8->5+8=3c1,3+0+1=4c0->43
16+91->6+1=7,1+9=0c1->107
79+62->9+2=1c1,7+6+1=4c1->141
77+94->7+4=1c1,7+9+1=7c1->171
26+79->6+9=5c1,2+7+1=0c1->105
91+17->1+7=8,9+1=0c1->108
55+3->5+3=8,5+0=5->58
55+61->5+1=6,5+6=1c1->116
45+57->5+7=2c1,4+5+1=0c1->102
26+50->6+0=6,2+5=7->76
5+40->5+0=5,0+4=4->45
17+38->7+8=5c1,1+3+1=5c0->55
1+76->1+6=7,0+7=7->77
7+53->7+3=0c1,0+5+1=6c0->60
76+94->6+4=0c1,7+9+1=7c1->170
48+71->8+1=9,4+7=1c1->119
99+28->9+8=7c1,9+2+1=2c1->127
9+96->9+6=5c1,0+9+1=0c1->105
59+68->9+8=7c1,5+6+1=2c1->127
41+33->1+3=4,4+3=7->74
41+36->1+6=7,4+3=7->77
6+48->6+8=4c1,0+4+1=5c0->54
2+80->2+0=2,0+8=8->82
97+82->7+2=9,9+8=7c1->179
65+88->5+8=3c1,6+8+1=5c1->153
47+58->7+8=5c1,4+5+1=0c1->105
52+15->2+5=7,5+1=6->67
62+99->2+9=1c1,6+9+1=6c1->161
8+90->8+0=8,0+9=9->98
55+82->5+2=7,5+8=3c1->137
91+58->1+8=9,9+5=4c1->149
32+87->2+7=9,3+8=1c1->119
16+95->6+5=1c1,1+9+1=1c1->111
97+83->7+3=0c1,9+8+1=8c1->180
47+46->7+6=3c1,4+4+1=9c0->93
77+9->7+9=6c1,7+0+1=8c0->86
22+31->2+1=3,2+3=5->53
25+91->5+1=6,2+9=1c1->116
64+92->4+2=6,6+9=5c1->156
22+1->2+1=3,2+0=2->23
73+91->3+1=4,7+9=6c1->164
38+17->8+7=5c1,3+1+1=5c0->55
91+73->1+3=4,9+7=6c1->164
49+81->9+1=0c1,4+8+1=3c1->130
28+77->8+7=5c1,2+7+1=0c1->105
53+14->3+4=7,5+1=6->67
72+20->2+0=2,7+2=9->92
71+42->1+2=3,7+4=1c1->113
72+35->2+5=7,7+3=0c1->107
6+37->6+7=3c1,0+3+1=4c0->43
91+39->1+9=0c1,9+3+1=3c1->130
56+2->6+2=8,5+0=5->58
27+17->7+7=4c1,2+1+1=4c0->44
8+23->8+3=1c1,0+2+1=3c0->31
23+96->3+6=9,2+9=1c1->119
39+68->9+8=7c1,3+6+1=0c1->107
98+18->8+8=6c1,9+1+1=1c1->116
70+2->0+2=2,7+0=7->72
38+84->8+4=2c1,3+8+1=2c1->122
17+46->7+6=3c1,1+4+1=6c0->63
33+73->3+3=6,3+7=0c1->106
15+24->5+4=9,1+2=3->39
64+18->4+8=2c1,6+1+1=8c0->82
71+99->1+9=0c1,7+9+1=7c1->170
61+28->1+8=9,6+2=8->89
68+54->8+4=2c1,6+5+1=2c1->122
2+77->2+7=9,0+7=7->79
25+83->5+3=8,2+8=0c1->108
8+19->8+9=7c1,0+1+1=2c0->27
68+85->8+5=3c1,6+8+1=5c1->153
25+6->5+6=1c1,2+0+1=3c0->31
13+81->3+1=4,1+8=9->94
55+10->5+0=5,5+1=6->65
89+59->9+9=8c1,8+5+1=4c1->148
82+25->2+5=7,8+2=0c1->107
77+41->7+1=8,7+4=1c1->118
44+12->4+2=6,4+1=5->56
97+61->7+1=8,9+6=5c1->158
72+47->2+7=9,7+4=1c1->119
21+14->1+4=5,2+1=3->35
32+77->2+7=9,3+7=0c1->109
12+62->2+2=4,1+6=7->74
47+22->7+2=9,4+2=6->69
1+19->1+9=0c1,0+1+1=2c0->20
39+8->9+8=7c1,3+0+1=4c0->47
13+50->3+0=3,1+5=6->63
97+34->7+4=1c1,9+3+1=3c1->131
58+6->8+6=4c1,5+0+1=6c0->64
91+49->1+9=0c1,9+4+1=4c1->140
93+81->3+1=4,9+8=7c1->174
36+38->6+8=4c1,3+3+1=7c0->74
10+80->0+0=0,1+8=9->90
65+30->5+0=5,6+3=9->95
55+81->5+1=6,5+8=3c1->136
97+62->7+2=9,9+6=5c1->159
51+32->1+2=3,5+3=8->83
86+12->6+2=8,8+1=9->98
93+79->3+9=2c1,9+7+1=7c1->172
16+43->6+3=9,1+4=5->59
55+60->5+0=5,5+6=1c1->115
33+94->3+4=7,3+9=2c1->127
39+20->9+0=9,3+2=5->59
13+93->3+3=6,1+9=0c1->106
67+66->7+6=3c1,6+6+1=3c1->133
44+70->4+0=4,4+7=1c1->114
28+70->8+0=8,2+7=9->98
36+34->6+4=0c1,3+3+1=7c0->70
46+9->6+9=5c1,4+0+1=5c0->55
