53+11->3+1=4,5+1=6->64
55+56->5+6=1c1,5+5+1=1c1->111
39+50->9+0=9,3+5=8->89
71+78->1+8=9,7+7=4c1->149
4+11->4+1=5,0+1=1->15
61+72->1+2=3,6+7=3c1->133
52+91->2+1=3,5+9=4c1->143
61+87->1+7=8,6+8=4c1->148
54+37->4+7=1c1,5+3+1=9c0->91
76+79->6+9=5c1,7+7+1=5c1->155
35+24->5+4=9,3+2=5->59
80+36->0+6=6,8+3=1c1->116
46+75->6+5=1c1,4+7+1=2c1->121
38+63->8+3=1c1,3+6+1=0c1->101
19+15->9+5=4c1,1+1+1=3c0->34
86+85->6+5=1c1,8+8+1=7c1->171
26+63->6+3=9,2+6=8->89
48+13->8+3=1c1,4+1+1=6c0->61
32+62->2+2=4,3+6=9->94
42+62->2+2=4,4+6=0c1->104
26+86->6+6=2c1,2+8+1=1c1->112
79+44->9+4=3c1,7+4+1=2c1->123
79+22->9+2=1c1,7+2+1=0c1->101
36+55->6+5=1c1,3+5+1=9c0->91
20+77->0+7=7,2+7=9->97
63+49->3+9=2c1,6+4+1=1c1->112
33+56->3+6=9,3+5=8->89
21+23->1+3=4,2+2=4->44
4+93->4+3=7,0+9=9->97
20+34->0+4=4,2+3=5->54
3+66->3+6=9,0+6=6->69
4+30->4+0=4,0+3=3->34
76+10->6+0=6,7+1=8->86
58+49->8+9=7c1,5+4+1=0c1->107
77+82->7+2=9,7+8=5c1->159
21+3->1+3=4,2+0=2->24
8+80->8+0=8,0+8=8->88
41+54->1+4=5,4+5=9->95
41+57->1+7=8,4+5=9->98
60+75->0+5=5,6+7=3c1->135
28+70->8+0=8,2+7=9->98
45+36->5+6=1c1,4+3+1=8c0->81
10+42->0+2=2,1+4=5->52
85+62->5+2=7,8+6=4c1->147
6+10->6+0=6,0+1=1->16
28+6->8+6=4c1,2+0+1=3c0->34
70+29->0+9=9,7+2=9->99
20+89->0+9=9,2+8=0c1->109
14+38->4+8=2c1,1+3+1=5c0->52
66+9->6+9=5c1,6+0+1=7c0->75
63+79->3+9=2c1,6+7+1=4c1->142
34+17->4+7=1c1,3+1+1=5c0->51
24+51->4+1=5,2+5=7->75
30+49->0+9=9,3+4=7->79
64+10->4+0=4,6+1=7->74
70+88->0+8=8,7+8=5c1->158
97+81->7+1=8,9+8=7c1->178
57+70->7+0=7,5+7=2c1->127
59+68->9+8=7c1,5+6+1=2c1->127
20+43->0+3=3,2+4=6->63
50+80->0+0=0,5+8=3c1->130
11+60->1+0=1,1+6=7->71
90+11->0+1=1,9+1=0c1->101
69+83->9+3=2c1,6+8+1=5c1->152
9+45->9+5=4c1,0+4+1=5c0->54
58+14->8+4=2c1,5+1+1=7c0->72
52+65->2+5=7,5+6=1c1->117
39+5->9+5=4c1,3+0+1=4c0->44
64+34->4+4=8,6+3=9->98
58+56->8+6=4c1,5+5+1=1c1->114
33+83->3+3=6,3+8=1c1->116
87+5->7+5=2c1,8+0+1=9c0->92
40+80->0+0=0,4+8=2c1->120
57+71->7+1=8,5+7=2c1->128
74+38->4+8=2c1,7+3+1=1c1->112
91+55->1+5=6,9+5=4c1->146
13+41->3+1=4,1+4=5->54
44+1->4+1=5,4+0=4->45
40+78->0+8=8,4+7=1c1->118
71+3->1+3=4,7+0=7->74
15+3->5+3=8,1+0=1->18
6+47->6+7=3c1,0+4+1=5c0->53
14+36->4+6=0c1,1+3+1=5c0->50
65+50->5+0=5,6+5=1c1->115
43+44->3+4=7,4+4=8->87
54+16->4+6=0c1,5+1+1=7c0->70
17+27->7+7=4c1,1+2+1=4c0->44
92+99->2+9=1c1,9+9+1=9c1->191
20+48->0+8=8,2+4=6->68
1+1->1+1=2->2
31+68->1+8=9,3+6=9->99
11+15->1+5=6,1+1=2->26
92+89->2+9=1c1,9+8+1=8c1->181
19+90->9+0=9,1+9=0c1->109
9+98->9+8=7c1,0+9+1=0c1->107
83+6->3+6=9,8+0=8->89
31+85->1+5=6,3+8=1c1->116
30+57->0+7=7,3+5=8->87
58+69->8+9=7c1,5+6+1=2c1->127
83+77->3+7=0c1,8+7+1=6c1->160
75+19->5+9=4c1,7+1+1=9c0->94
53+40->3+0=3,5+4=9->93
88+86->8+6=4c1,8+8+1=7c1->174
71+94->1+4=5,7+9=6c1->165
90+12->0+2=2,9+1=0c1->102
23+20->3+0=3,2+2=4->43
10+94->0+4=4,1+9=0c1->104
4+42->4+2=6,0+4=4->46
78+15->8+5=3c1,7+1+1=9c0->93
62+51->2+1=3,6+5=1c1->113
42+97->2+7=9,4+9=3c1->139
79+72->9+2=1c1,7+7+1=5c1->151
22+35->2+5=7,2+3=5->57
75+35->5+5=0c1,7+3+1=1c1->110
97+66->7+6=3c1,9+6+1=6c1->163
23+46->3+6=9,2+4=6->69
95+19->5+9=4c1,9+1+1=1c1->114
2+19->2+9=1c1,0+1+1=2c0->21
93+20->3+0=3,9+2=1c1->113
85+38->5+8=3c1,8+3+1=2c1->123
62+58->2+8=0c1,6+5+1=2c1->120
84+87->4+7=1c1,8+8+1=7c1->171
43+19->3+9=2c1,4+1+1=6c0->62
98+17->8+7=5c1,9+1+1=1c1->115
69+76->9+6=5c1,6+7+1=4c1->145
58+34->8+4=2c1,5+3+1=9c0->92
40+53->0+3=3,4+5=9->93
98+19->8+9=7c1,9+1+1=1c1->117
19+67->9+7=6c1,1+6+1=8c0->86
66+6->6+6=2c1,6+0+1=7c0->72
18+97->8+7=5c1,1+9+1=1c1->115
28+46->8+6=4c1,2+4+1=7c0->74
88+58->8+8=6c1,8+5+1=4c1->146
81+62->1+2=3,8+6=4c1->143
68+90->8+0=8,6+9=5c1->158
21+16->1+6=7,2+1=3->37
67+29->7+9=6c1,6+2+1=9c0->96
55+68->5+8=3c1,5+6+1=2c1->123
62+93->2+3=5,6+9=5c1->155
22+86->2+6=8,2+8=0c1->108
86+35->6+5=1c1,8+3+1=2c1->121
10+26->0+6=6,1+2=3->36
75+27->5+7=2c1,7+2+1=0c1->102
90+74->0+4=4,9+7=6c1->164
38+37->8+7=5c1,3+3+1=7c0->75
57+33->7+3=0c1,5+3+1=9c0->90
11+73->1+3=4,1+7=8->84
45+66->5+6=1c1,4+6+1=1c1->111
89+45->9+5=4c1,8+4+1=3c1->134
68+67->8+7=5c1,6+6+1=3c1->135
4+69->4+9=3c1,0+6+1=7c0->73
94+57->4+7=1c1,9+5+1=5c1->151
61+16->1+6=7,6+1=7->77
95+29->5+9=4c1,9+2+1=2c1->124
14+23->4+3=7,1+2=3->37
2+9->2+9=1c1->11
22+29->2+9=1c1,2+2+1=5c0->51
26+91->6+1=7,2+9=1c1->117
27+40->7+0=7,2+4=6->67
50+8->0+8=8,5+0=5->58
48+19->8+9=7c1,4+1+1=6c0->67
4+46->4+6=0c1,0+4+1=5c0->50
80+94->0+4=4,8+9=7c1->174
28+71->8+1=9,2+7=9->99
80+4->0+4=4,8+0=8->84
46+11->6+1=7,4+1=5->57
80+90->0+0=0,8+9=7c1->170
18+67->8+7=5c1,1+6+1=8c0->85
78+25->8+5=3c1,7+2+1=0c1->103
62+79->2+9=1c1,6+7+1=4c1->141
99+98->9+8=7c1,9+9+1=9c1->197
14+45->4+5=9,1+4=5->59
31+73->1+3=4,3+7=0c1->104
85+87->5+7=2c1,8+8+1=7c1->172
36+83->6+3=9,3+8=1c1->119
87+41->7+1=8,8+4=2c1->128
7+23->7+3=0c1,0+2+1=3c0->30
83+51->3+1=4,8+5=3c1->134
17+51->7+1=8,1+5=6->68
3+91->3+1=4,0+9=9->94
66+29->6+9=5c1,6+2+1=9c0->95
50+87->0+7=7,5+8=3c1->137
20+25->0+5=5,2+2=4->45
40+62->0+2=2,4+6=0c1->102
75+64->5+4=9,7+6=3c1->139
44+90->4+0=4,4+9=3c1->134
30+72->0+2=2,3+7=0c1->102
60+57->0+7=7,6+5=1c1->117
63+23->3+3=6,6+2=8->86
23+84->3+4=7,2+8=0c1->107
8+56->8+6=4c1,0+5+1=6c0->64
65+46->5+6=1c1,6+4+1=1c1->111
10+84->0+4=4,1+8=9->94
70+27->0+7=7,7+2=9->97
80+49->0+9=9,8+4=2c1->129
52+21->2+1=3,5+2=7->73
75+37->5+7=2c1,7+3+1=1c1->112
53+95->3+5=8,5+9=4c1->148
15+81->5+1=6,1+8=9->96
76+78->6+8=4c1,7+7+1=5c1->154
74+14->4+4=8,7+1=8->88
80+8->0+8=8,8+0=8->88
45+4->5+4=9,4+0=4->49
22+62->2+2=4,2+6=8->84
33+42->3+2=5,3+4=7->75
9+41->9+1=0c1,0+4+1=5c0->50
90+42->0+2=2,9+4=3c1->132
45+68->5+8=3c1,4+6+1=1c1->113
85+94->5+4=9,8+9=7c1->179
44+34->4+4=8,4+3=7->78
54+51->4+1=5,5+5=0c1->105
76+94->6+4=0c1,7+9+1=7c1->170
96+57->6+7=3c1,9+5+1=5c1->153
76+19->6+9=5c1,7+1+1=9c0->95
12+61->2+1=3,1+6=7->73
33+51->3+1=4,3+5=8->84
10+25->0+5=5,1+2=3->35
53+80->3+0=3,5+8=3c1->133
23+93->3+3=6,2+9=1c1->116
62+45->2+5=7,6+4=0c1->107
50+58->0+8=8,5+5=0c1->108
72+4->2+4=6,7+0=7->76
82+27->2+7=9,8+2=0c1->109
15+71->5+1=6,1+7=8->86
46+61->6+1=7,4+6=0c1->107
5+9->5+9=4c1->14
28+80->8+0=8,2+8=0c1->108
1+65->1+5=6,0+6=6->66
94+6->4+6=0c1,9+0+1=0c1->100
76+54->6+4=0c1,7+5+1=3c1->130
22+91->2+1=3,2+9=1c1->113
25+54->5+4=9,2+5=7->79
17+30->7+0=7,1+3=4->47
74+50->4+0=4,7+5=2c1->124
40+77->0+7=7,4+7=1c1->117
3+44->3+4=7,0+4=4->47
13+64->3+4=7,1+6=7->77
97+76->7+6=3c1,9+7+1=7c1->173
67+73->7+3=0c1,6+7+1=4c1->140
89+88->9+8=7c1,8+8+1=7c1->177
45+83->5+3=8,4+8=2c1->128
44+99->4+9=3c1,4+9+1=4c1->143
66+24->6+4=0c1,6+2+1=9c0->90
66+59->6+9=5c1,6+5+1=2c1->125
68+87->8+7=5c1,6+8+1=5c1->155
14+24->4+4=8,1+2=3->38
54+83->4+3=7,5+8=3c1->137
70+12->0+2=2,7+1=8->82
40+21->0+1=1,4+2=6->61
24+18->4+8=2c1,2+1+1=4c0->42
3+53->3+3=6,0+5=5->56
15+89->5+9=4c1,1+8+1=0c1->104
60+35->0+5=5,6+3=9->95
64+14->4+4=8,6+1=7->78
91+38->1+8=9,9+3=2c1->129
26+32->6+2=8,2+3=5->58
34+95->4+5=9,3+9=2c1->129
95+79->5+9=4c1,9+7+1=7c1->174
77+53->7+3=0c1,7+5+1=3c1->130
38+10->8+0=8,3+1=4->48
44+97->4+7=1c1,4+9+1=4c1->141
48+4->8+4=2c1,4+0+1=5c0->52
95+99->5+9=4c1,9+9+1=9c1->194
25+47->5+7=2c1,2+4+1=7c0->72
31+52->1+2=3,3+5=8->83
94+31->4+1=5,9+3=2c1->125
3+81->3+1=4,0+8=8->84
35+89->5+9=4c1,3+8+1=2c1->124
18+84->8+4=2c1,1+8+1=0c1->102
4+72->4+2=6,0+7=7->76
84+19->4+9=3c1,8+1+1=0c1->103
97+62->7+2=9,9+6=5c1->159
30+6->0+6=6,3+0=3->36
40+19->0+9=9,4+1=5->59
86+51->6+1=7,8+5=3c1->137
15+73->5+3=8,1+7=8->88
72+46->2+6=8,7+4=1c1->118
16+77->6+7=3c1,1+7+1=9c0->93
81+71->1+1=2,8+7=5c1->152
6+96->6+6=2c1,0+9+1=0c1->102
79+3->9+3=2c1,7+0+1=8c0->82
49+9->9+9=8c1,4+0+1=5c0->58
22+36->2+6=8,2+3=5->58
21+57->1+7=8,2+5=7->78
13+18->3+8=1c1,1+1+1=3c0->31
47+21->7+1=8,4+2=6->68
70+52->0+2=2,7+5=2c1->122
43+86->3+6=9,4+8=2c1->129
33+86->3+6=9,3+8=1c1->119
77+16->7+6=3c1,7+1+1=9c0->93
82+7->2+7=9,8+0=8->89
31+11->1+1=2,3+1=4->42
14+90->4+0=4,1+9=0c1->104
91+78->1+8=9,9+7=6c1->169
92+50->2+0=2,9+5=4c1->142
52+95->2+5=7,5+9=4c1->147
60+79->0+9=9,6+7=3c1->139
5+80->5+0=5,0+8=8->85
69+73->9+3=2c1,6+7+1=4c1->142
45+71->5+1=6,4+7=1c1->116
95+53->5+3=8,9+5=4c1->148
65+35->5+5=0c1,6+3+1=0c1->100
38+70->8+0=8,3+7=0c1->108
24+77->4+7=1c1,2+7+1=0c1->101
16+35->6+5=1c1,1+3+1=5c0->51
46+16->6+6=2c1,4+1+1=6c0->62
22+34->2+4=6,2+3=5->56
49+58->9+8=7c1,4+5+1=0c1->107
98+81->8+1=9,9+8=7c1->179
25+19->5+9=4c1,2+1+1=4c0->44
23+48->3+8=1c1,2+4+1=7c0->71
13+42->3+2=5,1+4=5->55
75+85->5+5=0c1,7+8+1=6c1->160
10+99->0+9=9,1+9=0c1->109
74+60->4+0=4,7+6=3c1->134
48+71->8+1=9,4+7=1c1->119
84+28->4+8=2c1,8+2+1=1c1->112
85+37->5+7=2c1,8+3+1=2c1->122
42+34->2+4=6,4+3=7->76
42+38->2+8=0c1,4+3+1=8c0->80
35+99->5+9=4c1,3+9+1=3c1->134
27+9->7+9=6c1,2+0+1=3c0->36
1+57->1+7=8,0+5=5->58
79+51->9+1=0c1,7+5+1=3c1->130
56+90->6+0=6,5+9=4c1->146
35+86->5+6=1c1,3+8+1=2c1->121
17+5->7+5=2c1,1+0+1=2c0->22
40+7->0+7=7,4+0=4->47
47+29->7+9=6c1,4+2+1=7c0->76
60+28->0+8=8,6+2=8->88
64+23->4+3=7,6+2=8->87
43+53->3+3=6,4+5=9->96
98+84->8+4=2c1,9+8+1=8c1->182
52+88->2+8=0c1,5+8+1=4c1->140
89+69->9+9=8c1,8+6+1=5c1->158
84+2->4+2=6,8+0=8->86
27+14->7+4=1c1,2+1+1=4c0->41
75+87->5+7=2c1,7+8+1=6c1->162
2+49->2+9=1c1,0+4+1=5c0->51
80+87->0+7=7,8+8=6c1->167
88+55->8+5=3c1,8+5+1=4c1->143
36+38->6+8=4c1,3+3+1=7c0->74
17+24->7+4=1c1,1+2+1=4c0->41
69+16->9+6=5c1,6+1+1=8c0->85
4+82->4+2=6,0+8=8->86
24+79->4+9=3c1,2+7+1=0c1->103
41+39->1+9=0c1,4+3+1=8c0->80
79+90->9+0=9,7+9=6c1->169
18+61->8+1=9,1+6=7->79
28+59->8+9=7c1,2+5+1=8c0->87
36+68->6+8=4c1,3+6+1=0c1->104
25+11->5+1=6,2+1=3->36
28+63->8+3=1c1,2+6+1=9c0->91
9+39->9+9=8c1,0+3+1=4c0->48
26+58->6+8=4c1,2+5+1=8c0->84
73+44->3+4=7,7+4=1c1->117
89+31->9+1=0c1,8+3+1=2c1->120
5+63->5+3=8,0+6=6->68
6+76->6+6=2c1,0+7+1=8c0->82
78+99->8+9=7c1,7+9+1=7c1->177
15+78->5+8=3c1,1+7+1=9c0->93
46+36->6+6=2c1,4+3+1=8c0->82
92+59->2+9=1c1,9+5+1=5c1->151
4+44->4+4=8,0+4=4->48
68+10->8+0=8,6+1=7->78
89+77->9+7=6c1,8+7+1=6c1->166
94+12->4+2=6,9+1=0c1->106
18+70->8+0=8,1+7=8->88
74+96->4+6=0c1,7+9+1=7c1->170
2+24->2+4=6,0+2=2->26
77+91->7+1=8,7+9=6c1->168
31+8->1+8=9,3+0=3->39
6+81->6+1=7,0+8=8->87
50+86->0+6=6,5+8=3c1->136
40+92->0+2=2,4+9=3c1->132
89+95->9+5=4c1,8+9+1=8c1->184
97+77->7+7=4c1,9+7+1=7c1->174
13+12->3+2=5,1+1=2->25
76+31->6+1=7,7+3=0c1->107
34+62->4+2=6,3+6=9->96
32+13->2+3=5,3+1=4->45
11+52->1+2=3,1+5=6->63
86+68->6+8=4c1,8+6+1=5c1->154
92+96->2+6=8,9+9=8c1->188
46+94->6+4=0c1,4+9+1=4c1->140
42+27->2+7=9,4+2=6->69
8+35->8+5=3c1,0+3+1=4c0->43
54+1->4+1=5,5+0=5->55
84+64->4+4=8,8+6=4c1->148
39+43->9+3=2c1,3+4+1=8c0->82
41+66->1+6=7,4+6=0c1->107
29+46->9+6=5c1,2+4+1=7c0->75
31+43->1+3=4,3+4=7->74
8+66->8+6=4c1,0+6+1=7c0->74
89+35->9+5=4c1,8+3+1=2c1->124
99+36->9+6=5c1,9+3+1=3c1->135
83+85->3+5=8,8+8=6c1->168
61+2->1+2=3,6+0=6->63
97+47->7+7=4c1,9+4+1=4c1->144
29+64->9+4=3c1,2+6+1=9c0->93
41+60->1+0=1,4+6=0c1->101
53+75->3+5=8,5+7=2c1->128
26+77->6+7=3c1,2+7+1=0c1->103
50+57->0+7=7,5+5=0c1->107
55+87->5+7=2c1,5+8+1=4c1->142
64+91->4+1=5,6+9=5c1->155
65+15->5+5=0c1,6+1+1=8c0->80
50+61->0+1=1,5+6=1c1->111
9+3->9+3=2c1->12
89+92->9+2=1c1,8+9+1=8c1->181
97+49->7+9=6c1,9+4+1=4c1->146
62+96->2+6=8,6+9=5c1->158
53+37->3+7=0c1,5+3+1=9c0->90
22+26->2+6=8,2+2=4->48
51+91->1+1=2,5+9=4c1->142
40+98->0+8=8,4+9=3c1->138
18+12->8+2=0c1,1+1+1=3c0->30
29+84->9+4=3c1,2+8+1=1c1->113
17+25->7+5=2c1,1+2+1=4c0->42
80+5->0+5=5,8+0=8->85
58+7->8+7=5c1,5+0+1=6c0->65
61+61->1+1=2,6+6=2c1->122
57+17->7+7=4c1,5+1+1=7c0->74
53+54->3+4=7,5+5=0c1->107
8+90->8+0=8,0+9=9->98
33+15->3+5=8,3+1=4->48
96+22->6+2=8,9+2=1c1->118
46+5->6+5=1c1,4+0+1=5c0->51
69+77->9+7=6c1,6+7+1=4c1->146
37+85->7+5=2c1,3+8+1=2c1->122
53+32->3+2=5,5+3=8->85
69+69->9+9=8c1,6+6+1=3c1->138
9+21->9+1=0c1,0+2+1=3c0->30
34+87->4+7=1c1,3+8+1=2c1->121
49+65->9+5=4c1,4+6+1=1c1->114
24+80->4+0=4,2+8=0c1->104
66+55->6+5=1c1,6+5+1=2c1->121
37+65->7+5=2c1,3+6+1=0c1->102
84+23->4+3=7,8+2=0c1->107
74+33->4+3=7,7+3=0c1->107
19+27->9+7=6c1,1+2+1=4c0->46
65+84->5+4=9,6+8=4c1->149
56+69->6+9=5c1,5+6+1=2c1->125
75+41->5+1=6,7+4=1c1->116
55+74->5+4=9,5+7=2c1->129
29+73->9+3=2c1,2+7+1=0c1->102
44+53->4+3=7,4+5=9->97
98+30->8+0=8,9+3=2c1->128
65+71->5+1=6,6+7=3c1->136
32+82->2+2=4,3+8=1c1->114
72+92->2+2=4,7+9=6c1->164
87+30->7+0=7,8+3=1c1->117
40+26->0+6=6,4+2=6->66
93+34->3+4=7,9+3=2c1->127
95+27->5+7=2c1,9+2+1=2c1->122
74+94->4+4=8,7+9=6c1->168
11+71->1+1=2,1+7=8->82
84+15->4+5=9,8+1=9->99
11+20->1+0=1,1+2=3->31
43+68->3+8=1c1,4+6+1=1c1->111
58+11->8+1=9,5+1=6->69
81+43->1+3=4,8+4=2c1->124
52+6->2+6=8,5+0=5->58
49+77->9+7=6c1,4+7+1=2c1->126
2+68->2+8=0c1,0+6+1=7c0->70
67+42->7+2=9,6+4=0c1->109
7+59->7+9=6c1,0+5+1=6c0->66
74+36->4+6=0c1,7+3+1=1c1->110
36+52->6+2=8,3+5=8->88
88+98->8+8=6c1,8+9+1=8c1->186
55+36->5+6=1c1,5+3+1=9c0->91
7+60->7+0=7,0+6=6->67
24+23->4+3=7,2+2=4->47
45+18->5+8=3c1,4+1+1=6c0->63
81+63->1+3=4,8+6=4c1->144
63+89->3+9=2c1,6+8+1=5c1->152
1+56->1+6=7,0+5=5->57
57+53->7+3=0c1,5+5+1=1c1->110
81+5->1+5=6,8+0=8->86
15+62->5+2=7,1+6=7->77
51+98->1+8=9,5+9=4c1->149
75+25->5+5=0c1,7+2+1=0c1->100
53+85->3+5=8,5+8=3c1->138
55+8->5+8=3c1,5+0+1=6c0->63
42+16->2+6=8,4+1=5->58
8+83->8+3=1c1,0+8+1=9c0->91
72+55->2+5=7,7+5=2c1->127
94+63->4+3=7,9+6=5c1->157
72+79->2+9=1c1,7+7+1=5c1->151
17+39->7+9=6c1,1+3+1=5c0->56
69+61->9+1=0c1,6+6+1=3c1->130
99+20->9+0=9,9+2=1c1->119
90+58->0+8=8,9+5=4c1->148
31+39->1+9=0c1,3+3+1=7c0->70
89+81->9+1=0c1,8+8+1=7c1->170
94+73->4+3=7,9+7=6c1->167
52+46->2+6=8,5+4=9->98
75+98->5+8=3c1,7+9+1=7c1->173
29+57->9+7=6c1,2+5+1=8c0->86
72+77->2+7=9,7+7=4c1->149
76+72->6+2=8,7+7=4c1->148
18+87->8+7=5c1,1+8+1=0c1->105
93+5->3+5=8,9+0=9->98
27+95->7+5=2c1,2+9+1=2c1->122
15+25->5+5=0c1,1+2+1=4c0->40
64+45->4+5=9,6+4=0c1->109
22+23->2+3=5,2+2=4->45
23+2->3+2=5,2+0=2->25
36+42->6+2=8,3+4=7->78
18+59->8+9=7c1,1+5+1=7c0->77
9+85->9+5=4c1,0+8+1=9c0->94
84+20->4+0=4,8+2=0c1->104
93+10->3+0=3,9+1=0c1->103
89+23->9+3=2c1,8+2+1=1c1->112
73+94->3+4=7,7+9=6c1->167
45+32->5+2=7,4+3=7->77
23+87->3+7=0c1,2+8+1=1c1->110
91+87->1+7=8,9+8=7c1->178
2+4->2+4=6->6
89+85->9+5=4c1,8+8+1=7c1->174
63+46->3+6=9,6+4=0c1->109
34+9->4+9=3c1,3+0+1=4c0->43
31+21->1+1=2,3+2=5->52
1+28->1+8=9,0+2=2->29
59+33->9+3=2c1,5+3+1=9c0->92
91+14->1+4=5,9+1=0c1->105
26+46->6+6=2c1,2+4+1=7c0->72
84+78->4+8=2c1,8+7+1=6c1->162
92+46->2+6=8,9+4=3c1->138
20+10->0+0=0,2+1=3->30
11+99->1+9=0c1,1+9+1=1c1->110
30+69->0+9=9,3+6=9->99
12+2->2+2=4,1+0=1->14
76+33->6+3=9,7+3=0c1->109
56+12->6+2=8,5+1=6->68
73+22->3+2=5,7+2=9->95
62+9->2+9=1c1,6+0+1=7c0->71
42+17->2+7=9,4+1=5->59
18+65->8+5=3c1,1+6+1=8c0->83
37+4->7+4=1c1,3+0+1=4c0->41
30+67->0+7=7,3+6=9->97
10+64->0+4=4,1+6=7->74
48+43->8+3=1c1,4+4+1=9c0->91
54+28->4+8=2c1,5+2+1=8c0->82
61+24->1+4=5,6+2=8->85
44+77->4+7=1c1,4+7+1=2c1->121
73+7->3+7=0c1,7+0+1=8c0->80
2+73->2+3=5,0+7=7->75
85+35->5+5=0c1,8+3+1=2c1->120
14+28->4+8=2c1,1+2+1=4c0->42
35+5->5+5=0c1,3+0+1=4c0->40
9+10->9+0=9,0+1=1->19
94+48->4+8=2c1,9+4+1=4c1->142
29+6->9+6=5c1,2+0+1=3c0->35
43+75->3+5=8,4+7=1c1->118
49+56->9+6=5c1,4+5+1=0c1->105
50+3->0+3=3,5+0=5->53
73+91->3+1=4,7+9=6c1->164
74+93->4+3=7,7+9=6c1->167
27+78->7+8=5c1,2+7+1=0c1->105
26+33->6+3=9,2+3=5->59
15+84->5+4=9,1+8=9->99
28+31->8+1=9,2+3=5->59
3+25->3+5=8,0+2=2->28
48+69->8+9=7c1,4+6+1=1c1->117
98+74->8+4=2c1,9+7+1=7c1->172
41+28->1+8=9,4+2=6->69
70+46->0+6=6,7+4=1c1->116
3+52->3+2=5,0+5=5->55
53+59->3+9=2c1,5+5+1=1c1->112
46+1->6+1=7,4+0=4->47
99+56->9+6=5c1,9+5+1=5c1->155
81+11->1+1=2,8+1=9->92
74+44->4+4=8,7+4=1c1->118
36+24->6+4=0c1,3+2+1=6c0->60
84+25->4+5=9,8+2=0c1->109
59+71->9+1=0c1,5+7+1=3c1->130
84+39->4+9=3c1,8+3+1=2c1->123
80+77->0+7=7,8+7=5c1->157
11+78->1+8=9,1+7=8->89
2+83->2+3=5,0+8=8->85
75+3->5+3=8,7+0=7->78
86+48->6+8=4c1,8+4+1=3c1->134
54+18->4+8=2c1,5+1+1=7c0->72
55+29->5+9=4c1,5+2+1=8c0->84
13+60->3+0=3,1+6=7->73
17+16->7+6=3c1,1+1+1=3c0->33
92+16->2+6=8,9+1=0c1->108
92+48->2+8=0c1,9+4+1=4c1->140
93+64->3+4=7,9+6=5c1->157
81+84->1+4=5,8+8=6c1->165
33+18->3+8=1c1,3+1+1=5c0->51
50+69->0+9=9,5+6=1c1->119
98+37->8+7=5c1,9+3+1=3c1->135
12+99->2+9=1c1,1+9+1=1c1->111
20+82->0+2=2,2+8=0c1->102
36+67->6+7=3c1,3+6+1=0c1->103
26+23->6+3=9,2+2=4->49
48+93->8+3=1c1,4+9+1=4c1->141
81+1->1+1=2,8+0=8->82
28+22->8+2=0c1,2+2+1=5c0->50
91+90->1+0=1,9+9=8c1->181
26+13->6+3=9,2+1=3->39
93+99->3+9=2c1,9+9+1=9c1->192
93+12->3+2=5,9+1=0c1->105
51+17->1+7=8,5+1=6->68
47+79->7+9=6c1,4+7+1=2c1->126
69+85->9+5=4c1,6+8+1=5c1->154
47+76->7+6=3c1,4+7+1=2c1->123
79+20->9+0=9,7+2=9->99
88+53->8+3=1c1,8+5+1=4c1->141
87+68->7+8=5c1,8+6+1=5c1->155
36+2->6+2=8,3+0=3->38
6+72->6+2=8,0+7=7->78
20+81->0+1=1,2+8=0c1->101
94+5->4+5=9,9+0=9->99
12+27->2+7=9,1+2=3->39
34+63->4+3=7,3+6=9->97
66+53->6+3=9,6+5=1c1->119
57+45->7+5=2c1,5+4+1=0c1->102
93+7->3+7=0c1,9+0+1=0c1->100
89+33->9+3=2c1,8+3+1=2c1->122
44+42->4+2=6,4+4=8->86
87+40->7+0=7,8+4=2c1->127
1+52->1+2=3,0+5=5->53
52+24->2+4=6,5+2=7->76
32+95->2+5=7,3+9=2c1->127
88+15->8+5=3c1,8+1+1=0c1->103
26+88->6+8=4c1,2+8+1=1c1->114
47+39->7+9=6c1,4+3+1=8c0->86
19+95->9+5=4c1,1+9+1=1c1->114
44+55->4+5=9,4+5=9->99
30+82->0+2=2,3+8=1c1->112
22+10->2+0=2,2+1=3->32
6+49->6+9=5c1,0+4+1=5c0->55
17+32->7+2=9,1+3=4->49
79+31->9+1=0c1,7+3+1=1c1->110
69+96->9+6=5c1,6+9+1=6c1->165
57+47->7+7=4c1,5+4+1=0c1->104
34+52->4+2=6,3+5=8->86
84+95->4+5=9,8+9=7c1->179
6+69->6+9=5c1,0+6+1=7c0->75
20+16->0+6=6,2+1=3->36
47+20->7+0=7,4+2=6->67
36+4->6+4=0c1,3+0+1=4c0->40
11+55->1+5=6,1+5=6->66
13+51->3+1=4,1+5=6->64
99+41->9+1=0c1,9+4+1=4c1->140
39+37->9+7=6c1,3+3+1=7c0->76
70+79->0+9=9,7+7=4c1->149
91+6->1+6=7,9+0=9->97
35+51->5+1=6,3+5=8->86
86+19->6+9=5c1,8+1+1=0c1->105
99+26->9+6=5c1,9+2+1=2c1->125
67+50->7+0=7,6+5=1c1->117
12+93->2+3=5,1+9=0c1->105
10+13->0+3=3,1+1=2->23
17+37->7+7=4c1,1+3+1=5c0->54
17+40->7+0=7,1+4=5->57
12+73->2+3=5,1+7=8->85
16+48->6+8=4c1,1+4+1=6c0->64
33+87->3+7=0c1,3+8+1=2c1->120
28+75->8+5=3c1,2+7+1=0c1->103
1+31->1+1=2,0+3=3->32
